type,type_id,url,order_num
FREE,15,free/post_15.jpg,1
FREE,19,free/post_19.jpg,1
FREE,25,free/post_25.jpg,1
FREE,44,free/post_44.jpg,1
FREE,31,free/post_31.jpg,1
FREE,50,free/post_50.jpg,1
FREE,10,free/post_10.jpg,1
FREE,24,free/post_24.jpg,1
FREE,18,free/post_18.jpg,1
FREE,12,free/post_12.jpg,1
FREE,26,free/post_26.jpg,1
FREE,42,free/post_42.jpg,1
FREE,35,free/post_35.jpg,1
FREE,20,free/post_20.jpg,1
FREE,9,free/post_9.jpg,1
FREE,27,free/post_27.jpg,1
FREE,11,free/post_11.jpg,1
FREE,21,free/post_21.jpg,1
FREE,46,free/post_46.jpg,1
FREE,16,free/post_16.jpg,1
