member_id,comment_id
24,1
22,1
36,1
49,2
10,2
39,3
26,4
33,4
3,4
9,4
22,5
31,5
34,5
30,5
10,5
33,6
9,6
21,6
40,6
11,7
26,7
48,8
20,8
38,8
22,8
33,9
35,9
32,9
46,9
20,10
31,10
2,10
24,10
44,11
8,11
38,12
20,12
47,12
41,13
2,13
39,13
31,13
17,13
50,14
38,14
37,14
15,14
47,14
31,16
11,16
34,16
41,16
40,17
50,17
25,17
10,17
44,17
3,18
45,19
8,19
13,19
2,19
21,20
27,20
10,20
45,21
14,21
27,21
50,22
40,22
31,22
48,22
4,23
46,23
9,23
34,23
14,23
21,24
43,24
31,24
34,24
21,25
12,25
30,25
22,26
35,26
23,26
44,26
44,27
42,27
45,27
17,27
40,27
13,28
16,28
18,28
20,29
15,29
50,29
19,29
14,30
45,30
46,30
32,30
21,30
23,31
36,31
47,31
19,32
8,32
44,33
35,33
25,33
26,33
50,34
10,34
3,35
19,35
6,36
23,36
29,36
42,36
17,36
31,37
14,37
13,37
35,37
18,37
45,38
18,38
9,38
7,38
48,39
38,39
16,39
4,39
34,40
15,40
41,40
4,40
7,40
22,41
46,41
31,41
50,43
9,43
1,43
36,43
11,43
42,44
31,44
13,44
21,45
19,45
4,46
50,46
6,46
42,46
37,46
35,47
47,48
3,48
12,48
27,48
26,48
12,49
48,49
19,49
37,52
39,52
19,54
30,54
35,55
34,55
32,55
9,55
33,55
18,56
13,56
8,56
11,57
47,57
42,58
17,58
46,58
1,59
22,60
19,60
37,60
44,60
49,60
12,61
41,62
26,62
28,62
33,62
6,63
26,63
7,64
12,64
9,64
31,64
21,64
1,65
25,66
16,66
49,67
18,67
22,67
38,68
47,68
1,69
17,69
42,69
24,69
16,70
4,70
43,70
8,70
30,70
11,71
26,71
33,72
46,72
50,72
20,72
45,72
19,74
24,74
40,74
15,74
9,74
10,75
30,75
48,75
24,76
27,76
45,76
36,76
49,77
35,77
43,77
49,78
44,79
6,80
34,80
29,80
46,80
5,81
37,81
33,84
13,84
37,84
35,84
11,85
34,86
29,86
14,88
46,88
38,88
32,88
6,88
29,89
4,89
30,89
9,89
27,90
30,90
37,90
4,90
30,91
44,91
20,91
47,91
17,93
1,93
48,93
38,94
23,97
45,97
5,97
4,98
5,98
31,98
3,98
27,99
12,99
50,100
47,101
42,101
27,101
24,101
25,101
25,102
6,102
44,102
35,103
9,103
42,103
23,103
8,103
35,104
34,105
9,105
47,105
1,106
30,108
44,108
35,109
28,109
25,109
15,109
16,109
23,110
10,110
18,110
47,111
27,114
40,114
50,114
2,114
16,114
5,115
3,117
29,117
39,117
44,117
4,118
16,118
48,118
3,118
26,118
15,119
35,119
14,119
33,121
15,122
47,122
21,123
37,123
39,123
50,123
21,124
16,124
20,124
10,124
43,124
15,125
27,125
20,125
18,125
38,127
48,127
12,127
41,127
28,128
36,128
32,128
4,128
23,128
43,129
25,129
34,129
21,129
45,129
27,130
10,130
20,130
12,131
49,131
35,131
16,132
15,132
20,132
10,133
30,133
4,133
36,133
27,133
36,134
34,134
9,134
16,135
17,135
14,135
42,136
6,136
24,137
6,137
35,137
13,138
4,138
18,138
25,138
44,138
39,139
3,139
5,139
13,139
47,140
43,140
36,140
14,140
14,141
22,141
20,141
13,143
8,144
48,144
49,144
31,144
16,144
39,145
46,145
14,145
26,145
16,145
21,146
50,146
19,146
25,146
35,147
42,147
23,147
17,148
24,148
32,149
30,149
7,149
47,149
49,150
21,150
14,150
21,151
27,151
15,153
48,153
10,153
2,153
36,154
38,154
47,155
27,155
19,155
10,155
22,156
25,157
16,158
32,158
36,158
42,158
22,159
17,159
49,159
32,159
47,159
48,160
32,160
30,160
11,160
47,160
